n;machines;Temps version Send and Receive;Temps Get version;Nombre jumeaux premiers
10;1;0.000053;0.000228;2
10;2;0.000265;0.001174;2
10;3;0.000323;0.002461;2
10;4;;;2
10;5;;;2
10;6;;;2
10;7;;;2
10;8;;;2
10;9;;;2
10;10;;;2
10;11;;;2
10;12;;;2
10;13;;;2
10;14;;;2
10;15;;;2
10;16;;;2
100;1;0.000043;0.000215;8
100;2;0.000237;0.00134;8
100;3;0.003479;0.001748;8
100;4;0.001612;0.004303;8
100;5;0.002697;0.007367;8
100;6;0.002069;0.004391;8
100;7;0.0012;0.004815;8
100;8;0.001518;0.008082;8
100;9;0.003855;0.007261;8
100;10;;;8
100;11;;;8
100;12;;;8
100;13;;;8
100;14;;;8
100;15;;;8
100;16;;;8
1000;1;0.000183;0.000252;35
1000;2;0.000232;0.001436;35
1000;3;0.00058;0.002049;35
1000;4;0.001635;0.005213;35
1000;5;0.000947;0.003938;35
1000;6;0.0021;0.005677;35
1000;7;0.001076;0.004761;35
1000;8;0.002279;0.008067;35
1000;9;0.001254;0.008475;35
1000;10;0.00146;0.007181;35
1000;11;0.002341;0.015144;35
1000;12;0.002051;0.011632;35
1000;13;0.001305;0.009518;35
1000;14;0.002554;0.013066;35
1000;15;0.001497;0.034798;35
1000;16;0.0041;0.02542;35
10000;1;0.000165;0.000321;205
10000;2;0.000599;0.00179;205
10000;3;0.000649;0.002224;205
10000;4;0.002252;0.004705;205
10000;5;0.001673;0.004671;205
10000;6;0.002435;0.004599;205
10000;7;0.002261;0.006064;205
10000;8;0.0022;0.008406;205
10000;9;0.001977;0.007317;205
10000;10;0.00192;0.008946;205
10000;11;0.001892;0.009959;205
10000;12;0.002271;0.009783;205
10000;13;0.002849;0.010273;205
10000;14;0.013783;0.013611;205
10000;15;0.002218;0.012203;205
10000;16;0.005288;0.013704;205
100000;1;0.001173;0.001788;1224
100000;2;0.001216;0.00298;1224
100000;3;0.005796;0.003283;1224
100000;4;0.005458;0.00733;1224
100000;5;0.002918;0.004663;1224
100000;6;0.005898;0.007053;1224
100000;7;0.00229;0.005705;1224
100000;8;0.004954;0.009955;1224
100000;9;0.003073;0.009845;1224
100000;10;0.004389;0.012207;1224
100000;11;0.004299;0.009352;1224
100000;12;0.002632;0.009647;1224
100000;13;0.003848;0.011904;1224
100000;14;0.005902;0.010826;1224
100000;15;0.005442;0.016598;1224
100000;16;0.006033;0.01509;1224
1000000;1;0.011429;0.014362;8169
1000000;2;0.00824;0.010348;8169
1000000;3;0.005953;0.015472;8169
1000000;4;0.006401;0.010918;8169
1000000;5;0.010776;0.013523;8169
1000000;6;0.007204;0.011878;8169
1000000;7;0.009542;0.019755;8169
1000000;8;0.006692;0.011999;8169
1000000;9;0.012837;0.02199;8169
1000000;10;0.010097;0.023918;8169
1000000;11;0.016681;0.013194;8169
1000000;12;0.008815;0.013648;8169
1000000;13;0.010978;0.039109;8169
1000000;14;0.009185;0.016248;8169
1000000;15;0.009272;0.018724;8169
1000000;16;0.011021;0.025345;8169
10000000;1;0.141508;0.160949;58980
10000000;2;0.071351;0.083553;58980
10000000;3;0.063278;0.073145;58980
10000000;4;0.049691;0.048778;58980
10000000;5;0.050554;0.054734;58980
10000000;6;0.046479;0.042268;58980
10000000;7;0.037244;0.045187;58980
10000000;8;0.040999;0.037032;58980
10000000;9;0.037903;0.041825;58980
10000000;10;0.038408;0.043571;58980
10000000;11;0.042799;0.046796;58980
10000000;12;0.035235;0.035868;58980
10000000;13;0.036882;0.037351;58980
10000000;14;0.038998;0.036742;58980
10000000;15;0.036792;0.040683;58980
10000000;16;0.03962;0.045223;58980
100000000;1;2.808879;2.95147;440312
100000000;2;1.308096;1.412506;440312
100000000;3;0.946394;0.973774;440312
100000000;4;0.642441;0.695551;440312
100000000;5;0.529234;0.569689;440312
100000000;6;0.434324;0.429896;440312
100000000;7;0.399249;0.413432;440312
100000000;8;0.323008;0.347013;440312
100000000;9;0.302753;0.338876;440312
100000000;10;0.26638;0.290584;440312
100000000;11;0.237417;0.261102;440312
100000000;12;0.258154;0.26576;440312
100000000;13;0.230347;0.238771;440312
100000000;14;0.219647;0.234258;440312
100000000;15;0.216049;0.229017;440312
100000000;16;0.19889;0.213629;440312
